FinalID,sch_start_B_0,sch_start_E,sch_start_E_h,sch_start_T_h,bri_start_B_0,bri_start_T_0,bri_start_T_m,cub_start_B_0,cub_start_B_1,cub_start_B_2,cub_start_B_3,sch_final_B_0,sch_final_E,sch_final_E_h,sch_final_T_h,bri_final_B_0,bri_final_T_0,bri_final_T_m,cub_final_B_0,cub_final_B_1,cub_final_B_2,cub_final_B_3,Est_Tpk,Max_response,sch_R_Squared,sch_AICc,sch_BIC,bri_R_Squared,bri_AICc,bri_BIC,cub_R_Squared,cub_AICc,cub_BIC,sch_delta_AICc,bri_delta_AICc,cub_delta_AICc,sch_Wi_AICc,bri_Wi_AICc,cub_Wi_AICc,Number_Of_Data_Points,Points_Before_Peak,Points_After_Peak
MTD3762,2.4209616,0.66,1.15,318.15,0.01,284.15,318.15,0.0,0.0,0.0,0.0,2.403091429545834,0.20000000071099733,1.5761690935759591,309.07069675216843,4.749250441788277e-05,250.82178343395466,318.4711459729994,1170.5962338430306,-13.202027951525528,0.04917550035213225,-6.046713567179631e-05,297.65,3.2,0.9450901375465434,-5.56852765151991,-18.5840948181339,0.9693174965405355,-19.557864217672986,-25.31953959263348,0.9904076167163189,-19.526316457385256,-32.54188362399925,13.989336566153076,0.0,0.03154776028772943,0.0004617802118436063,0.5037106771871024,0.49582754260105405,8.0,1.0,7.0
MTD3764,0.030534351,0.6442875633618121,1.15,313.15,0.01,284.15,313.15,0.0,0.0,0.0,0.0,1.498623438369212,0.2769947232180233,6.390571222332159,397.9719740116482,0.00018330480620978696,283.5106822219997,316.0419293912468,8619.745196253152,-89.55072534745246,0.30934400423909997,-0.0003552519763649798,308.15,4.854962,0.5214849052698816,8.783314748912108,9.703927808435012,0.8523899034236317,-16.819983497017756,-15.586666559518436,0.8553332288107112,-13.945526230541013,-13.02491317101811,25.603298245929864,0.0,2.8744572664767425,2.2270928475886767e-06,0.8080233229701143,0.19197444993703816,19.0,4.0,15.0
MTD3765,1.0050762,0.66,1.15,309.15,0.01,279.15,309.15,0.0,0.0,0.0,0.0,2.0875795310968863,0.9304791995606143,2.205047306117175,299.15000000011725,0.0003821662622819983,279.6198086348334,309.9023465650645,18521.06262383348,-196.91114654041155,0.6959472868747232,-0.000817609352759628,299.15,9.654822,0.6510310644104347,33.441723853569066,33.44124389646059,0.6329957785736468,30.811181881133106,31.464668067147908,0.6666652506745132,32.662517460384315,32.66203750327585,2.63054197243596,0.0,1.8513355792512094,0.16123427241563482,0.6007202798985992,0.23804544768576602,17.0,9.0,8.0
MTD3766,47.127743,0.66,1.15,314.15,0.01,286.15,314.15,0.0,0.0,0.0,0.0,44.867549693539296,0.3317205695762314,2.446240081839968,312.08118370437677,0.0037171184636601165,278.40239107268604,316.24750171023055,268052.75812421244,-2748.9887817036893,9.385970411889183,-0.010666529829437488,309.15,100.0,0.9591205890671968,46.70279190338238,26.486432499603637,0.9741411766432884,29.496969253074376,21.334699700240314,0.966746135721437,45.2576030052835,25.041243601504753,17.205822650308008,0.0,15.760633752209124,0.00018346753056562289,0.999438631507532,0.0003779009619024104,7.0,4.0,3.0
MTD3767,35.310726,0.66,1.15,319.65,0.01,287.15,319.65,0.0,0.0,0.0,0.0,31.70523379031283,0.38941505228734774,2.0980891819364453,316.40523280909196,0.0031999099027666183,281.09797932402813,322.00943650921107,224718.81412094075,-2276.82012402769,7.678136902572134,-0.008615718273553096,309.65,100.0,0.9696031003263764,43.32107981526539,36.53142018724158,0.9734036336511963,35.985419657635276,32.89317493661741,0.9794560175407365,39.403354364294806,32.613694736270986,7.335660157630116,0.0,3.41793470665953,0.02116040153418872,0.8287857366535645,0.15005386181224684,10.0,6.0,4.0
MTD3768,19.249395,0.66,1.15,309.15,0.01,285.15,309.15,0.0,0.0,0.0,0.0,19.624165488564742,0.2560382260918088,0.8755689255610024,306.1146585322396,0.0004617187010785493,258.68682378853794,316.7203811121108,3186.9804937738268,-39.8579457043923,0.16061075365863428,-0.0002096739079077402,297.15,24.939466,0.6622035469648819,28.845783363372057,8.62942395959331,0.6397703139539375,15.295871748076678,7.133602195242617,0.65302640936228,29.033419520134284,8.817060116355536,13.549911615295379,0.0,13.737547772057606,0.0011395347622713107,0.9978229776624067,0.00103748757532195,7.0,7.0,0.0
MTD3769,18.644068,0.66,1.15,309.15,0.01,285.15,309.15,0.0,0.0,0.0,0.0,20.65662130132385,0.5120219397059864,0.8787516109845179,297.1500000792732,0.0006991002388635737,267.67310966696897,317.08737674815313,-50149.81790165859,495.317107771065,-1.6291479589441493,0.0017853893468026004,297.15,28.571428000000004,0.9308442997455694,24.73772172620262,4.521362322423871,0.8807589261771821,14.551229231241898,6.388959678407838,0.9773082088112082,16.93722097307733,-3.2791384307014146,10.18649249496072,0.0,2.385991741835433,0.004687514000161665,0.7636798260459333,0.231632659953905,7.0,4.0,3.0
MTD3770,15.375302,0.66,1.15,309.15,0.01,285.15,309.15,0.0,0.0,0.0,0.0,13.478158031386688,0.6375235086765505,1.219904203333347,301.1500001060881,0.0011842318690582629,277.20068843769906,314.90852436167313,62.94071989273621,-19.65293728570576,0.12904726088279564,-0.00021296758378106407,301.15,31.598063,0.8861409269521561,38.45516168311825,18.238802279339502,0.8716241544514229,25.295167090241165,17.132897537407104,0.8837315372679239,38.60174426419371,18.38538486041497,13.159994592877084,0.0,13.306577173952547,0.0013841468185847494,0.9973295239001073,0.0012863292813079577,7.0,6.0,1.0
MTD3772,25.060242000000002,0.66,1.15,309.15,0.01,285.15,309.15,0.0,0.0,0.0,0.0,26.48080052536457,0.5099787273418144,0.913935289039701,297.15000020382274,0.0009095144097535736,267.3421735054164,315.9203928884641,-20926.650424213614,196.263569923286,-0.6093525598767314,0.0006268363354701123,297.15,39.036144,0.7825624696717273,36.280675004093894,16.064315600315147,0.7403804749048557,23.521814216973763,15.359544664139701,0.7739974149889792,36.551118918507065,16.33475951472832,12.758860787120131,0.0,13.029304701533302,0.0016907162637501902,0.9968324058745279,0.0014768778617217423,7.0,2.0,5.0
MTD3773,23.493976999999997,0.66,1.15,309.15,0.01,285.15,309.15,0.0,0.0,0.0,0.0,24.38228869174739,0.6500940188168387,1.1233755656266213,297.1500004187773,0.0013736416720788204,272.87133055272454,314.58039513675067,-141747.35402217763,1406.6823001499229,-4.650028703953436,0.0051217267146229555,297.15,44.81928,0.8622358512784762,40.09631614299826,19.87995673921952,0.7809632875019554,29.342189521606613,21.179919968772555,0.9470211367573701,33.406765243249176,13.19040583947043,10.754126621391649,0.0,4.064575721642562,0.004069340067967562,0.880547745178257,0.11538291475377546,7.0,5.0,2.0
